Pokemon,cluster_p1,tipo_top,tipo_top_count,tipo_2,tipo_2_count
Swampert,4,water,18,rock,14
Floatzel,4,water,21,ice,13
Mudkip,4,water,16,rock,11
Feraligatr,4,water,20,ice,11
Dragalge,4,poison,21,water,14
Dewott,4,water,20,ice,6
Delibird,4,ice,16,flying,7
Lombre,4,water,17,grass,13
Ludicolo,4,water,17,grass,13
Sharpedo,4,water,13,dark,12
Seismitoad,4,poison,15,water,11
Carvanha,4,water,13,dark,11
Marill,4,water,23,ice,9
Croconaw,4,water,20,ice,10
Crawdaunt,4,water,17,dark,12
Greninja,4,water,18,dark,9
Cubchoo,4,ice,14,water,6
Blastoise,4,water,25,fighting,11
Marshtomp,4,water,17,rock,12
Buizel,4,water,21,ice,10
Golduck,4,water,20,psychic,16
Stunfisk,4,electric,12,ground,11
Frogadier,4,water,15,poison,8
Froakie,4,water,15,rock,7
Samurott,4,water,21,ice,6
Totodile,4,water,20,ice,10
Tympole,4,water,11,poison,8
Corphish,4,water,16,dark,9
Basculin,4,water,17,ice,5
Poliwhirl,4,water,17,ice,12
Beartic,4,ice,15,fighting,9
Psyduck,4,water,19,psychic,16
Barboach,4,water,17,ground,10
Simipour,4,water,17,dark,11
Krabby,4,water,12,ice,8
Keldeo,4,water,10,fighting,9
Kingler,4,water,12,rock,8
Clauncher,4,water,19,poison,10
Clawitzer,4,water,19,poison,10
Skrelp,4,poison,21,water,14
Squirtle,4,water,25,fighting,10
Azumarill,4,water,23,ice,9
Azurill,4,water,18,ice,7
Poliwrath,4,water,17,fighting,15
Watchog,5,fighting,9,dark,7
Flareon,5,fire,17,poison,6
Delcatty,5,ice,7,electric,7
Glaceon,5,ice,14,psychic,6
Blissey,5,psychic,11,ice,11
Happiny,5,psychic,7,fire,6
Lopunny,5,fighting,13,ice,8
Linoone,5,electric,7,ice,7
Bidoof,5,ice,6,electric,6
Minun,5,electric,18,dark,5
Bibarel,5,water,15,ice,6
Plusle,5,electric,17,water,4
Wigglytuff,5,psychic,11,ice,11
Chansey,5,psychic,11,rock,10
Leafeon,5,grass,15,ghost,4
Igglybuff,5,psychic,10,fire,6
Sentret,5,water,7,dark,7
Vaporeon,5,water,17,ice,10
Buneary,5,fighting,10,ice,7
Furfrou,5,dark,6,psychic,4
Furret,5,fighting,9,ice,8
Umbreon,5,dark,15,psychic,8
Eevee,5,ghost,4,psychic,4
Audino,5,psychic,18,ice,11
Skitty,5,ice,7,electric,7
Clefairy,5,psychic,20,ice,10
Cleffa,5,psychic,17,ground,6
Kecleon,5,psychic,10,dark,10
Jigglypuff,5,ice,11,psychic,10
Sylveon,5,psychic,10,fairy,9
Swirlix,5,psychic,7,poison,5
Togekiss,5,psychic,15,flying,14
Togepi,5,psychic,15,fire,6
Minccino,5,poison,6,dark,5
Rattata,5,dark,8,electric,7
Raichu,5,electric,19,fighting,9
Raticate,5,dark,8,electric,7
Pikachu,5,electric,19,fighting,8
Togetic,5,psychic,15,flying,12
Pachirisu,5,electric,18,poison,6
Patrat,5,dark,6,poison,6
Pichu,5,electric,15,fighting,4
Espeon,5,psychic,21,ghost,5
Zigzagoon,5,ice,7,electric,7
Dunsparce,5,rock,9,ghost,8
Aipom,5,dark,13,fighting,12
Slurpuff,5,psychic,7,poison,5
Cinccino,5,poison,6,grass,5
Jolteon,5,electric,12,psychic,6
Spinda,5,psychic,15,fighting,11
Ambipom,5,dark,13,fighting,12
Seaking,6,water,17,poison,7
Lanturn,6,water,20,electric,16
Corsola,6,rock,17,water,11
Seadra,6,water,18,dragon,11
Milotic,6,water,18,ice,10
Vanilluxe,6,ice,15,psychic,6
Luvdisc,6,water,18,ice,6
Mantine,6,water,18,flying,9
Gorebyss,6,water,20,ice,7
Cryogonal,6,ice,14,poison,8
Relicanth,6,water,18,rock,14
Remoraid,6,water,20,poison,7
Qwilfish,6,poison,19,water,18
Feebas,6,water,11,ice,8
Omastar,6,water,17,rock,17
Phione,6,water,16,ice,6
Piplup,6,water,19,ice,9
Empoleon,6,water,21,ice,10
Wailmer,6,water,19,ice,10
Octillery,6,water,20,poison,11
Lumineon,6,water,17,ice,7
Wailord,6,water,19,ice,10
Frillish,6,water,17,poison,9
Tentacool,6,poison,20,water,16
Omanyte,6,water,17,rock,15
Finneon,6,water,17,ice,7
Chinchou,6,water,19,electric,15
Horsea,6,water,18,dragon,11
Clamperl,6,water,16,ice,6
Alomomola,6,water,17,psychic,9
Kyogre,6,water,18,ice,8
Jellicent,6,water,17,poison,9
Kingdra,6,water,18,dragon,12
Cloyster,6,ice,15,water,14
Prinplup,6,water,19,ice,9
Tentacruel,6,poison,20,water,16
Vanillite,6,ice,14,psychic,6
Vanillish,6,ice,14,psychic,6
Suicune,6,water,14,ice,12
Huntail,6,water,18,ice,8
Kabutops,6,rock,15,water,14
Kabuto,6,rock,13,water,12
Castform,6,water,8,ice,8
Unown,6,water,1,steel,1
Shellder,6,water,14,ice,12
Staryu,6,water,15,psychic,9
Goldeen,6,water,17,poison,7
Manaphy,6,water,16,psychic,8
Mantyke,6,water,16,flying,8
Lapras,6,water,15,ice,15
Drifloon,7,psychic,11,ghost,7
Drifblim,7,psychic,11,ghost,8
Duskull,7,ghost,15,dark,14
Ralts,7,psychic,25,ice,8
Gengar,7,ghost,16,poison,16
Gastly,7,ghost,14,poison,13
Gardevoir,7,psychic,26,ice,8
Gallade,7,psychic,26,fighting,13
Cofagrigus,7,psychic,18,ghost,12
Litwick,7,fire,15,psychic,10
Chandelure,7,fire,15,psychic,10
Haunter,7,ghost,16,poison,16
Misdreavus,7,psychic,15,ghost,13
Froslass,7,ice,16,dark,12
Mismagius,7,psychic,15,ghost,14
Banette,7,ghost,17,dark,15
Dusclops,7,ghost,16,dark,14
Dusknoir,7,ghost,16,dark,14
Shuppet,7,ghost,16,dark,14
Spiritomb,7,dark,16,ghost,11
Kirlia,7,psychic,25,ice,8
Lampent,7,fire,15,psychic,10
Yamask,7,psychic,18,ghost,12
Poochyena,8,dark,15,poison,7
Purrloin,8,dark,20,poison,6
Purugly,8,dark,14,ground,5
Sneasel,8,dark,19,ice,14
Skorupi,8,poison,25,dark,15
Skuntank,8,poison,18,dark,17
Krookodile,8,dark,19,rock,11
Krokorok,8,dark,19,rock,10
Toxicroak,8,poison,19,fighting,17
Liepard,8,dark,20,poison,6
Houndour,8,dark,19,fire,16
Houndoom,8,dark,19,fire,16
Mightyena,8,dark,15,poison,7
Meowth,8,dark,17,ghost,6
Darkrai,8,dark,19,poison,9
Croagunk,8,poison,19,fighting,17
Stunky,8,dark,17,poison,15
Sandile,8,dark,17,rock,9
Sableye,8,dark,20,psychic,13
Glameow,8,dark,14,water,4
Zoroark,8,dark,23,psychic,7
Zorua,8,dark,22,psychic,7
Bisharp,8,dark,19,rock,9
Pawniard,8,dark,19,rock,8
Persian,8,dark,19,ghost,6
Drapion,8,poison,25,dark,16
Weavile,8,dark,22,ice,14
Absol,8,dark,19,psychic,9
Altaria,9,dragon,14,flying,13
Honchkrow,9,dark,19,flying,17
Starly,9,flying,14,fighting,5
Staravia,9,flying,14,fighting,5
Crobat,9,flying,16,poison,15
Golbat,9,flying,15,poison,13
Braviary,9,flying,15,rock,6
Staraptor,9,flying,15,fighting,6
Moltres,9,flying,15,fire,13
Rufflet,9,flying,14,rock,6
Murkrow,9,dark,17,flying,17
Swanna,9,flying,18,water,14
Zubat,9,flying,15,poison,13
Zapdos,9,flying,14,electric,13
Wingull,9,flying,15,water,13
Ducklett,9,flying,17,water,14
Pidgeot,9,flying,18,dark,4
Taillow,9,flying,17,poison,4
Pidgeotto,9,flying,18,dark,4
Pidgey,9,flying,18,dark,4
Dodrio,9,flying,13,dark,9
Doduo,9,flying,13,dark,6
Swellow,9,flying,17,poison,4
Fearow,9,flying,15,dark,5
Farfetch'd,9,flying,18,poison,7
Noctowl,9,flying,16,psychic,13
Pelipper,9,water,16,flying,16
Aerodactyl,9,rock,14,flying,12
Swablu,9,flying,13,ice,8
Hoothoot,9,flying,16,psychic,13
Ho-Oh,9,flying,14,fire,11
Spearow,9,flying,15,dark,5
Articuno,9,ice,15,flying,14
Skarmory,9,flying,16,dark,10
Chatot,9,flying,15,dark,5
Metang,10,psychic,14,rock,11
Ferroseed,10,grass,9,poison,8
Geodude,10,rock,20,fighting,10
Ferrothorn,10,grass,12,rock,8
Roggenrola,10,rock,15,ground,9
Sandslash,10,rock,11,ground,11
Carracosta,10,water,17,rock,17
Graveler,10,rock,20,fighting,10
Golurk,10,fighting,12,rock,11
Crustle,10,rock,17,ground,9
Boldore,10,rock,16,ground,9
Metagross,10,psychic,14,rock,11
Steelix-Mega,10,rock,19,ground,11
Bonsly,10,rock,13,dark,6
Gigalith,10,rock,16,ground,9
Bunnelby,10,rock,10,ground,8
Carbink,10,rock,15,psychic,12
Phanpy,10,rock,11,poison,6
Pineco,10,rock,9,poison,8
Onix,10,rock,19,ground,10
Tirtouga,10,water,17,rock,17
Donphan,10,rock,14,poison,9
Binacle,10,water,13,rock,13
Durant,10,rock,11,bug,6
Drilbur,10,rock,9,poison,9
Torkoal,10,fire,17,rock,9
Regirock,10,rock,17,fighting,11
Regigigas,10,rock,13,fighting,10
Regice,10,fighting,11,rock,11
Excadrill,10,ground,11,rock,9
Dugtrio,10,ground,12,rock,10
Barbaracle,10,water,13,rock,13
Dwebble,10,rock,17,ground,9
Forretress,10,rock,11,ground,9
Diancie,10,rock,15,psychic,11
Nosepass,10,rock,20,electric,11
Diglett,10,ground,10,rock,9
Doublade,10,steel,7,ghost,5
Terrakion,10,rock,12,fighting,8
Volcanion,10,fire,11,poison,8
Registeel,10,rock,13,fighting,11
Genesect,10,bug,12,electric,9
Sandshrew,10,ground,11,rock,10
Steelix,10,rock,19,ground,11
Lairon,10,rock,14,steel,9
Armaldo,10,rock,15,ground,9
Anorith,10,rock,14,water,7
Aegislash,10,steel,8,ghost,6
Bastiodon,10,rock,16,ground,9
Landorus-Therian,10,rock,14,ground,9
Landorus,10,rock,14,ground,9
Golett,10,fighting,12,rock,10
Honedge,10,steel,7,ghost,5
Sudowoodo,10,rock,15,fighting,10
Cobalion,10,fighting,8,rock,7
Golem,10,rock,20,fighting,11
Probopass,10,rock,20,electric,11
Shieldon,10,rock,16,ground,9
Shuckle,10,rock,18,poison,12
Aron,10,rock,13,steel,9
Snorlax,11,fighting,11,rock,10
Snubbull,11,fighting,12,fire,11
Heracross,11,fighting,14,rock,10
Hitmonchan,11,fighting,22,rock,8
Hitmonlee,11,fighting,23,rock,9
Nidorina,11,poison,24,dark,9
Nidoran-M,11,poison,21,ice,6
Nidoran-F,11,poison,24,dark,9
Nidoqueen,11,poison,26,dark,13
Nidoking,11,poison,23,rock,12
Munchlax,11,rock,9,fire,8
Scrafty,11,dark,14,fighting,14
Teddiursa,11,fighting,12,dark,11
Sawk,11,fighting,16,rock,7
Riolu,11,fighting,22,poison,7
Rhyhorn,11,rock,17,ground,10
Rhyperior,11,rock,19,fighting,12
Rhydon,11,rock,17,fighting,12
Mienfoo,11,fighting,18,rock,7
Scraggy,11,fighting,14,dark,13
Bouffalant,11,rock,8,poison,8
Marowak,11,rock,12,fighting,12
Mankey,11,fighting,20,dark,10
Makuhita,11,fighting,24,rock,9
Cubone,11,rock,11,fighting,11
Granbull,11,fighting,13,fire,11
Ursaring,11,fighting,15,dark,11
Tyrogue,11,fighting,12,rock,4
Cranidos,11,rock,15,fire,8
Machamp,11,fighting,24,rock,10
Machoke,11,fighting,24,rock,8
Mienshao,11,fighting,18,rock,8
Hawlucha,11,fighting,17,flying,15
Hariyama,11,fighting,24,rock,10
Gurdurr,11,fighting,21,rock,11
Hitmontop,11,fighting,18,rock,8
Machop,11,fighting,24,rock,8
Lucario,11,fighting,24,dark,9
Loudred,11,ice,11,fighting,10
Lickitung,11,rock,9,fighting,9
Lickilicky,11,fighting,10,rock,9
Conkeldurr,11,fighting,21,rock,11
Tyranitar,11,rock,14,dark,14
Slakoth,11,fighting,10,fire,8
Slaking,11,fighting,14,dark,10
Pupitar,11,rock,13,dark,11
Primeape,11,fighting,20,dark,10
Chesnaught,11,grass,18,fighting,13
Chespin,11,grass,15,fighting,11
Kangaskhan,11,fighting,15,ice,10
Larvitar,11,rock,13,dark,11
Aggron,11,rock,16,fighting,12
Zangoose,11,fighting,16,dark,10
Pangoro,11,fighting,19,dark,17
Timburr,11,fighting,21,rock,11
Throh,11,fighting,16,rock,8
Tauros,11,rock,9,water,6
Diggersby,11,fighting,11,rock,10
Exploud,11,ice,14,fire,11
Rampardos,11,rock,15,fire,8
Vigoroth,11,fighting,14,fire,8
Nidorino,11,poison,21,ice,6
Miltank,11,fighting,12,rock,9
Quilladin,11,grass,16,fighting,11
Pancham,11,fighting,17,dark,12
Pinsir,11,fighting,13,rock,10
Whismur,11,ice,10,fire,8
Arbok,12,poison,29,dark,13
Amaura,12,rock,14,ice,14
Quagsire,12,water,14,ice,11
Piloswine,12,ice,16,rock,10
Numel,12,fire,13,rock,10
Muk,12,poison,23,dark,9
Mawile,12,dark,17,rock,10
Mamoswine,12,ice,17,rock,11
Slugma,12,fire,14,rock,10
Shellos,12,water,10,poison,8
Koffing,12,poison,21,dark,9
Lileep,12,grass,12,rock,11
Sealeo,12,water,16,ice,13
Magcargo,12,rock,16,fire,14
Seviper,12,poison,24,dark,15
Seel,12,water,15,ice,11
Gulpin,12,poison,25,ghost,6
Spheal,12,water,16,ice,13
Grimer,12,poison,23,fire,8
Heatmor,12,fire,14,dark,11
Hippopotas,12,ground,9,rock,8
Hippowdon,12,rock,9,ground,9
Snorunt,12,ice,13,dark,5
Trubbish,12,poison,22,dark,5
Ekans,12,poison,29,dark,12
Dewgong,12,water,15,ice,14
Cradily,12,rock,13,grass,12
Swalot,12,poison,25,ghost,6
Swinub,12,ice,14,ground,10
Glalie,12,ice,16,dark,10
Garbodor,12,poison,22,rock,7
Gastrodon,12,water,12,poison,12
Camerupt,12,fire,14,rock,13
Walrein,12,water,16,ice,16
Wooper,12,water,14,ice,11
Bergmite,12,ice,14,rock,9
Weezing,12,poison,21,dark,9
Avalugg,12,ice,14,rock,9
Aurorus,12,ice,15,rock,14
Fletchinder,13,fire,11,flying,9
Archeops,13,rock,16,flying,13
Archen,13,rock,16,flying,11
Unfezant,13,flying,13,poison,4
Tornadus,13,dark,13,flying,10
Tranquill,13,flying,13,poison,4
Fletchling,13,flying,9,fire,5
Tornadus-Therian,13,dark,13,flying,10
Vullaby,13,dark,17,flying,13
Mandibuzz,13,dark,17,flying,14
Noibat,13,flying,14,dark,9
Pidove,13,flying,13,poison,4
Yveltal,13,flying,13,dark,12
Talonflame,13,fire,12,flying,10
Noivern,13,flying,14,dark,10
Magnezone,14,electric,19,steel,8
Manectric,14,electric,19,fire,6
Luxray,14,electric,18,dark,7
Rotom-Frost,14,electric,13,ghost,7
Rotom-Heat,14,electric,13,ghost,7
Mareep,14,electric,18,psychic,5
Rotom-Fan,14,electric,13,ghost,7
Zebstrika,14,electric,15,psychic,4
Rotom-Wash,14,electric,13,ghost,7
Raikou,14,electric,14,psychic,6
Emolga,14,electric,18,flying,8
Eelektross,14,electric,15,poison,8
Electivire,14,electric,19,fighting,15
Flaaffy,14,electric,20,fighting,9
Thundurus-Therian,14,dark,14,electric,14
Electrode,14,electric,16,dark,6
Magneton,14,electric,18,steel,7
Magnemite,14,electric,15,steel,7
Helioptile,14,electric,19,rock,6
Heliolisk,14,electric,21,rock,6
Joltik,14,bug,14,poison,13
Luxio,14,electric,15,dark,7
Klink,14,electric,13,steel,8
Klang,14,electric,13,steel,8
Shinx,14,electric,15,dark,7
Klinklang,14,electric,15,steel,8
Rotom-Mow,14,electric,13,ghost,7
Ampharos,14,electric,24,fighting,10
Rotom,14,electric,13,ghost,7
Voltorb,14,electric,15,dark,6
Blitzle,14,electric,13,psychic,4
Thundurus,14,dark,14,electric,14
Galvantula,14,bug,15,poison,13
Elekid,14,electric,14,fighting,13
Dedenne,14,electric,18,poison,4
Eelektrik,14,electric,12,poison,8
Electabuzz,14,fighting,15,electric,14
Electrike,14,electric,16,dark,6
Munna,15,psychic,25,ghost,5
Musharna,15,psychic,25,ghost,5
Reuniclus,15,psychic,21,rock,7
Mr. Mime,15,psychic,28,fighting,10
Solrock,15,psychic,19,rock,15
Hoopa-Unbound,15,psychic,23,dark,14
Solosis,15,psychic,21,rock,6
Spritzee,15,psychic,10,fairy,9
Hypno,15,psychic,25,fighting,11
Stantler,15,psychic,17,electric,8
Inkay,15,dark,16,psychic,13
Spoink,15,psychic,21,dark,6
Grumpig,15,psychic,21,fighting,10
Hoopa,15,psychic,23,dark,14
Jirachi,15,psychic,21,electric,7
Slowking,15,psychic,18,water,12
Jynx,15,psychic,21,ice,14
Slowbro,15,psychic,18,water,13
Slowpoke,15,psychic,18,water,12
Lunatone,15,psychic,21,rock,15
Smoochum,15,psychic,20,ice,12
Kadabra,15,psychic,32,dark,10
Mime Jr.,15,psychic,24,dark,7
Meditite,15,fighting,20,psychic,20
Malamar,15,dark,16,psychic,14
Meowstic-M,15,psychic,22,dark,8
Mewtwo,15,psychic,29,fighting,14
Mew,15,psychic,23,dark,18
Meowstic-F,15,psychic,22,dark,7
Medicham,15,fighting,20,psychic,20
Meloetta,15,psychic,19,fighting,11
Porygon,15,psychic,13,electric,10
Porygon2,15,psychic,13,electric,10
Porygon-Z,15,psychic,13,electric,10
Alakazam,15,psychic,32,dark,10
Xatu,15,psychic,25,flying,14
Beheeyem,15,psychic,32,dark,8
Abra,15,psychic,25,dark,9
Azelf,15,psychic,21,fire,8
Aromatisse,15,psychic,12,fairy,10
Uxie,15,psychic,22,electric,7
Bronzong,15,psychic,22,rock,12
Braixen,15,fire,17,psychic,14
Lugia,15,psychic,16,flying,14
Natu,15,psychic,25,flying,12
Celebi,15,psychic,18,grass,12
Deoxys-Attack,15,psychic,25,fighting,14
Chimecho,15,psychic,25,ghost,6
Deoxys,15,psychic,25,fighting,14
Drowzee,15,psychic,25,fighting,10
Deoxys-Speed,15,psychic,25,fighting,14
Duosion,15,psychic,21,rock,6
Baltoy,15,psychic,26,rock,11
Woobat,15,psychic,22,flying,12
Bronzor,15,psychic,21,rock,11
Delphox,15,fire,19,psychic,18
Cresselia,15,psychic,21,ice,6
Claydol,15,psychic,27,rock,13
Chingling,15,psychic,20,ghost,5
Elgyem,15,psychic,32,dark,8
Starmie,15,psychic,16,water,15
Gothita,15,psychic,25,dark,15
Girafarig,15,psychic,23,dark,8
Deoxys-Defense,15,psychic,25,fighting,14
Espurr,15,psychic,19,dark,6
Gothorita,15,psychic,26,dark,15
Gothitelle,15,psychic,26,dark,15
Swoobat,15,psychic,22,flying,13
Sigilyph,15,psychic,26,flying,14
Klefki,15,psychic,11,fairy,8
Latias,15,psychic,21,water,11
Latios,15,psychic,20,dragon,12
Metapod,16,bug,3,electric,1
Pumpkaboo-Super,16,water,0,flying,0
Pumpkaboo-Small,16,water,0,flying,0
Weedle,16,bug,3,poison,3
Cascoon,16,bug,3,poison,3
Caterpie,16,bug,3,electric,1
Wobbuffet,16,ghost,1,psychic,1
Beldum,16,steel,2,psychic,1
Ditto,16,water,0,flying,0
Gourgeist-Large,16,water,0,flying,0
Tynamo,16,electric,4,ground,1
Combee,16,bug,5,flying,3
Kakuna,16,bug,3,poison,3
Scatterbug,16,bug,4,poison,3
Gourgeist-Small,16,water,0,flying,0
Gourgeist-Super,16,water,0,flying,0
Wurmple,16,bug,3,poison,3
Pumpkaboo-Large,16,water,0,flying,0
Magikarp,16,water,1,flying,1
Wynaut,16,ghost,1,psychic,1
Spewpa,16,bug,4,poison,3
Smeargle,16,water,0,flying,0
Silcoon,16,bug,3,poison,3
Kricketot,16,bug,4,ground,1
Ninjask,17,bug,12,flying,8
Nincada,17,bug,11,ground,4
Yanma,17,bug,10,flying,10
Accelgor,17,poison,12,bug,10
Illumise,17,bug,9,flying,8
Spinarak,17,poison,19,bug,15
Ledyba,17,bug,10,flying,8
Sewaddle,17,bug,10,grass,10
Shedinja,17,bug,11,ghost,9
Shelmet,17,poison,11,bug,9
Kricketune,17,bug,14,dark,5
Karrablast,17,bug,11,poison,7
Ledian,17,bug,10,fighting,9
Leavanny,17,grass,14,bug,12
Yanmega,17,bug,11,flying,10
Mothim,17,bug,12,flying,11
Scolipede,17,poison,22,bug,10
Scizor,17,bug,10,flying,10
Scyther,17,bug,10,flying,9
Masquerain,17,bug,14,water,11
Venomoth,17,poison,16,bug,14
Venonat,17,poison,16,bug,9
Vespiquen,17,bug,17,poison,11
Vibrava,17,ground,10,flying,9
Trapinch,17,ground,10,rock,7
Dustox,17,poison,14,bug,12
Escavalier,17,bug,13,poison,8
Swadloon,17,grass,12,bug,10
Flygon,17,dragon,14,bug,10
Surskit,17,water,11,bug,9
Gliscor,17,poison,19,rock,12
Gligar,17,poison,19,rock,12
Volcarona,17,fire,16,bug,13
Venipede,17,poison,20,bug,8
Butterfree,17,bug,13,flying,10
Burmy,17,bug,4,electric,2
Whirlipede,17,poison,22,bug,8
Wormadam-Trash,17,poison,8,bug,7
Wormadam-Sandy,17,bug,7,rock,7
Beautifly,17,bug,12,flying,10
Volbeat,17,bug,11,flying,8
Vivillon,17,bug,13,flying,9
Beedrill,17,poison,17,bug,13
Ariados,17,poison,21,bug,16
