Pokemon,cluster
Togepi,5
Minccino,5
Rattata,5
Raichu,5
Raticate,5
Pikachu,5
Togetic,5
Pachirisu,5
Patrat,5
Pichu,5
Espeon,5
Zigzagoon,5
Dunsparce,5
Aipom,5
Slurpuff,5
Cinccino,5
Jolteon,5
Spinda,5
Ambipom,5
Seaking,6
Lanturn,6
Corsola,6
Seadra,6
Milotic,6
Vanilluxe,6
Luvdisc,6
Mantine,6
Gorebyss,6
Cryogonal,6
Relicanth,6
Remoraid,6
Qwilfish,6
Feebas,6
Omastar,6
Phione,6
Piplup,6
Empoleon,6
Wailmer,6
Octillery,6
Lumineon,6
Wailord,6
Frillish,6
Tentacool,6
Omanyte,6
Finneon,6
Chinchou,6
Horsea,6
Clamperl,6
Alomomola,6
Kyogre,6
Jellicent,6
Kingdra,6
Cloyster,6
Prinplup,6
Tentacruel,6
Vanillite,6
Vanillish,6
Suicune,6
Huntail,6
Kabutops,6
Kabuto,6
Castform,6
Unown,6
Shellder,6
Staryu,6
Goldeen,6
Manaphy,6
Mantyke,6
Lapras,6
Drifloon,7
Drifblim,7
Duskull,7
Ralts,7
Gengar,7
Gastly,7
Gardevoir,7
Gallade,7
Cofagrigus,7
Litwick,7
Chandelure,7
Haunter,7
Misdreavus,7
Froslass,7
Mismagius,7
Banette,7
Dusclops,7
Dusknoir,7
Shuppet,7
Spiritomb,7
Kirlia,7
Lampent,7
Yamask,7
Poochyena,8
Purrloin,8
Purugly,8
Sneasel,8
Skorupi,8
Skuntank,8
Krookodile,8
Krokorok,8
Toxicroak,8
Liepard,8
Houndour,8
Houndoom,8
Mightyena,8
Meowth,8
Darkrai,8
Croagunk,8
Stunky,8
Sandile,8
Sableye,8
Glameow,8
Zoroark,8
Zorua,8
Bisharp,8
Pawniard,8
Persian,8
Drapion,8
Weavile,8
Absol,8
Altaria,9
Honchkrow,9
Starly,9
Staravia,9
Crobat,9
Golbat,9
Braviary,9
Staraptor,9
Moltres,9
Rufflet,9
Murkrow,9
Swanna,9
Zubat,9
Zapdos,9
Wingull,9
Ducklett,9
Pidgeot,9
Taillow,9
Pidgeotto,9
Pidgey,9
Dodrio,9
Doduo,9
Swellow,9
Fearow,9
Farfetch'd,9
Noctowl,9
Pelipper,9
Aerodactyl,9
Swablu,9
Hoothoot,9
Ho-Oh,9
Spearow,9
Articuno,9
Skarmory,9
Chatot,9
Metang,10
Ferroseed,10
Geodude,10
Ferrothorn,10
Roggenrola,10
Sandslash,10
Carracosta,10
Graveler,10
Golurk,10
Crustle,10
Boldore,10
Metagross,10
Steelix-Mega,10
Bonsly,10
Gigalith,10
Bunnelby,10
Carbink,10
Phanpy,10
Pineco,10
Onix,10
Tirtouga,10
Donphan,10
Binacle,10
Durant,10
Drilbur,10
Torkoal,10
Regirock,10
Regigigas,10
Regice,10
Excadrill,10
Dugtrio,10
Barbaracle,10
Dwebble,10
Forretress,10
Diancie,10
Nosepass,10
Diglett,10
Doublade,10
Terrakion,10
Volcanion,10
Registeel,10
Genesect,10
Sandshrew,10
Steelix,10
Lairon,10
Armaldo,10
Anorith,10
Aegislash,10
Bastiodon,10
Landorus-Therian,10
Landorus,10
Golett,10
Honedge,10
Sudowoodo,10
Cobalion,10
Golem,10
Probopass,10
Shieldon,10
Shuckle,10
Aron,10
Snorlax,11
Snubbull,11
Heracross,11
Hitmonchan,11
Hitmonlee,11
Nidorina,11
Nidoran-M,11
Nidoran-F,11
Nidoqueen,11
Nidoking,11
Munchlax,11
Scrafty,11
Teddiursa,11
Sawk,11
Riolu,11
Rhyhorn,11
Rhyperior,11
Rhydon,11
Mienfoo,11
Scraggy,11
Bouffalant,11
Marowak,11
Mankey,11
Makuhita,11
Cubone,11
Granbull,11
Ursaring,11
Tyrogue,11
Cranidos,11
Machamp,11
Machoke,11
Mienshao,11
Hawlucha,11
Hariyama,11
Gurdurr,11
Hitmontop,11
Machop,11
Lucario,11
Loudred,11
Lickitung,11
Lickilicky,11
Conkeldurr,11
Tyranitar,11
Slakoth,11
Slaking,11
Pupitar,11
Primeape,11
Chesnaught,11
Chespin,11
Kangaskhan,11
Larvitar,11
Aggron,11
Zangoose,11
Pangoro,11
Timburr,11
Throh,11
Tauros,11
Diggersby,11
Exploud,11
Rampardos,11
Vigoroth,11
Nidorino,11
Miltank,11
Quilladin,11
Pancham,11
Pinsir,11
Whismur,11
Arbok,12
Amaura,12
Quagsire,12
Piloswine,12
Numel,12
Muk,12
Mawile,12
Mamoswine,12
Slugma,12
Shellos,12
Koffing,12
Lileep,12
Sealeo,12
Magcargo,12
Seviper,12
Seel,12
Gulpin,12
Spheal,12
Grimer,12
Heatmor,12
Hippopotas,12
Hippowdon,12
Snorunt,12
Trubbish,12
Ekans,12
Dewgong,12
Cradily,12
Swalot,12
Swinub,12
Glalie,12
Garbodor,12
Gastrodon,12
Camerupt,12
Walrein,12
Wooper,12
Bergmite,12
Weezing,12
Avalugg,12
Aurorus,12
Fletchinder,13
Archeops,13
Archen,13
Unfezant,13
Tornadus,13
Tranquill,13
Fletchling,13
Tornadus-Therian,13
Vullaby,13
Mandibuzz,13
Noibat,13
Pidove,13
Yveltal,13
Talonflame,13
Noivern,13
Magnezone,14
Manectric,14
Luxray,14
Rotom-Frost,14
Rotom-Heat,14
Mareep,14
Rotom-Fan,14
Zebstrika,14
Rotom-Wash,14
Raikou,14
Emolga,14
Eelektross,14
Electivire,14
Flaaffy,14
Thundurus-Therian,14
Electrode,14
Magneton,14
Magnemite,14
Helioptile,14
Heliolisk,14
Joltik,14
Luxio,14
Klink,14
Klang,14
Shinx,14
Klinklang,14
Rotom-Mow,14
Ampharos,14
Rotom,14
Voltorb,14
Blitzle,14
Thundurus,14
Galvantula,14
Elekid,14
Dedenne,14
Eelektrik,14
Electabuzz,14
Electrike,14
Munna,15
Musharna,15
Reuniclus,15
Mr. Mime,15
Solrock,15
Hoopa-Unbound,15
Solosis,15
Spritzee,15
Hypno,15
Stantler,15
Inkay,15
Spoink,15
Grumpig,15
Hoopa,15
Jirachi,15
Slowking,15
Jynx,15
Slowbro,15
Slowpoke,15
Lunatone,15
Smoochum,15
Kadabra,15
Mime Jr.,15
Meditite,15
Malamar,15
Meowstic-M,15
Mewtwo,15
Mew,15
Meowstic-F,15
Medicham,15
Meloetta,15
Porygon,15
Porygon2,15
Porygon-Z,15
Alakazam,15
Xatu,15
Beheeyem,15
Abra,15
Azelf,15
Aromatisse,15
Uxie,15
Bronzong,15
Braixen,15
Lugia,15
Natu,15
Celebi,15
Deoxys-Attack,15
Chimecho,15
Deoxys,15
Drowzee,15
Deoxys-Speed,15
Duosion,15
Baltoy,15
Woobat,15
Bronzor,15
Delphox,15
Cresselia,15
Claydol,15
Chingling,15
Elgyem,15
Starmie,15
Gothita,15
Girafarig,15
Deoxys-Defense,15
Espurr,15
Gothorita,15
Gothitelle,15
Swoobat,15
Sigilyph,15
Klefki,15
Latias,15
Latios,15
Metapod,16
Pumpkaboo-Super,16
Pumpkaboo-Small,16
Weedle,16
Cascoon,16
Caterpie,16
Wobbuffet,16
Beldum,16
Ditto,16
Gourgeist-Large,16
Tynamo,16
Combee,16
Kakuna,16
Scatterbug,16
Gourgeist-Small,16
Gourgeist-Super,16
Wurmple,16
Pumpkaboo-Large,16
Magikarp,16
Wynaut,16
Spewpa,16
Smeargle,16
Silcoon,16
Kricketot,16
Ninjask,17
Nincada,17
Yanma,17
Accelgor,17
Illumise,17
Spinarak,17
Ledyba,17
Sewaddle,17
Shedinja,17
Shelmet,17
Kricketune,17
Karrablast,17
Ledian,17
Leavanny,17
Yanmega,17
Mothim,17
Scolipede,17
Scizor,17
Scyther,17
Masquerain,17
Venomoth,17
Venonat,17
Vespiquen,17
Vibrava,17
Trapinch,17
Dustox,17
Escavalier,17
Swadloon,17
Flygon,17
Surskit,17
Gliscor,17
Gligar,17
Volcarona,17
Venipede,17
Butterfree,17
Burmy,17
Whirlipede,17
Wormadam-Trash,17
Wormadam-Sandy,17
Beautifly,17
Volbeat,17
Vivillon,17
Beedrill,17
Ariados,17
